id,mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13,O18,N15,S34,Cl37,Co,Cu.i,Cu.ii,Cu65.i,Cu65.ii,Fe.ii,Fe.iii,Fe54.ii,Fe54.iii,Br79,Br81,Ni.ii,Ni60.ii,Zn.ii,Zn66.ii,I,MDL_3.5,ResPow,m1,SE,present_in,AI,AI.mod,DBE,Aromatic,Aromatic.O_rich,Aromatic.O_poor,Highly.unsaturated,Highly.unsaturated.O_rich,Highly.unsaturated.O_poor,Unsaturated,Unsaturated.O_rich,Unsaturated.O_poor,Unsaturated.with.N,Saturated,Saturated.O_rich,Saturated.O_poor,mean_signal_to_MDL,isoratioC13.1,isoratioC13.2,isoratio_O18,isoratioS34,isoratioN15,isoratioBr81.1,isoratioBr81.2,isoratioCu.i_65,isoratioCu.ii_65,isoratioFe.ii_54,isoratioFe.iii_54,isoratioZn.ii_66,isoratioNi.ii_60,isoratioCl37,isorat_sdC13.1,isorat_sdC13.2,isorat_sd_O18,isorat_sd_S34,isorat_sd_N15,homnetworkmember,mean_of_ratio_deviance,diff_filter,alternative_formula,Sample1_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_01_1-2-43_1_21692.csv,Sample2_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_02_1-2-43_1_21702.csv,Sample3_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_03_1-2-43_1_21712.csv,Sample4_masslistsMGC2101807_LSt_MA_FTMS_PB_1_01_1-2-30_1_21512.csv,Sample5_masslistsMGC2101807_LSt_MA_FTMS_PB_1_02_1-2-30_1_21522.csv,Sample6_masslistsMGC2101807_LSt_MA_FTMS_PB_1_03_1-2-30_1_21532.csv,Sample7_masslistsMGC2101808_LSt_MA_FTMS_PB_2_01_1-2-20_1_21420.csv,Sample8_masslistsMGC2101808_LSt_MA_FTMS_PB_2_02_1-2-20_1_21430.csv,Sample9_masslistsMGC2101808_LSt_MA_FTMS_PB_2_03_1-2-20_1_21440.csv,Sample10_masslistsMGC2101809_LSt_MA_FTMS_PB_3_01_1-2-14_1_21360.csv,Sample11_masslistsMGC2101809_LSt_MA_FTMS_PB_3_02_1-2-14_1_21370.csv,Sample12_masslistsMGC2101809_LSt_MA_FTMS_PB_3_03_1-2-14_1_21380.csv,Sample13_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_01_1-2-12_1_21334.csv,Sample14_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_02_1-2-12_1_21344.csv,Sample15_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_03_1-2-12_1_21352.csv,Sample16_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_01_1-2-19_1_21418.csv,Sample17_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_02_1-2-19_1_21428.csv,Sample18_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_03_1-2-19_1_21438.csv,Sample19_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_01_1-2-9_1_21308.csv,Sample20_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_02_1-2-9_1_21316.csv,Sample21_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_03_1-2-9_1_21326.csv,Sample22_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_01_1-2-1_1_21250.csv,Sample23_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_02_1-2-1_1_21258.csv,Sample24_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_03_1-2-1_1_21268.csv,Sample25_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_01_1-2-23_1_21450.csv,Sample26_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_02_1-2-23_1_21460.csv,Sample27_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_03_1-2-23_1_21470.csv,Sample28_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_01_1-2-5_1_21278.csv,Sample29_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_02_1-2-5_1_21288.csv,Sample30_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_03_1-2-5_1_21296.csv,Sample31_NELHA_1.csv,Sample32_NELHA_2.csv,Sample33_NELHA_3.csv,Sample34_NELHA_4.csv,Sample35_NELHA_5.csv
-2,124.0371082,0.0330603,125.0443805,C_6 H_6 O_1 C13_1 O18_1,C7H6O2,C_6 H_5 O_1 C13_1 O18_1,14,7,0.857,0.286,6,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078395.463,1698391.222,124.0371092,0.046479538,9,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.23,79.82,NA,39.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.9371011,NA,262.127291,NA,NA,10,59.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4010316,3633740,3537737,NA,3656660,3576113,NA,NA,NA,NA,NA,NA,4907131,4121069,3443249,NA,3188404,NA,NA,NA,NA,NA,NA
0,125.0244171,0.0024676,126.0316939,C_6 H_6 O_3,C6H6O3,C_6 H_5 O_3,12,6,1,0.5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079303.798,1601503.667,125.0244194,0.031381756,9,0.33,0.56,4,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Inf,FALSE,NA,32071398,33569628,34765132,3205416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4558754,3229662,NA,3243888,NA,NA,NA,NA,NA,NA,NA,NA,6431415,NA,NA,3538198
0,125.0607989,0.0309039,126.0680792,C_7 H_10 O_2,C7H10O2,C_7 H_9 O_2,7,7,1.429,0.286,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079303.798,1623899.421,125.0608005,0.029419047,19,0.2,0.33,3,0,0,0,1,0,1,0,0,0,0,0,0,0,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,Inf,FALSE,NA,19873508,16405336,17887564,6151975,6596585,6122710,NA,NA,NA,NA,NA,NA,NA,NA,3557665,NA,NA,NA,5327280,6482849,7710941,4657314,5777775,5335599,5963857,6356933,5543432,4453911,3823755,4403280,NA,NA,NA,NA,NA
-1,125.0971864,0.0139091,126.1044646,C_8 H_14 O_1,C8H14O,C_8 H_13 O_1,8,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079303.798,1556495.433,125.0971877,0.024133876,30,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,56.56,-34.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26873384,NA,NA,NA,NA,19,34.28,FALSE,NA,3252449,5420374,3817801,312394528,318882784,314721504,230507088,249545968,251773952,95020304,99533600,95838760,102875936,105563432,103187232,71517184,70484912,73630984,251610032,244990880,240829664,163677344,169444720,164020784,257508432,261276608,260621824,236340240,235160720,231753296,NA,NA,NA,NA,NA
-1,126.1005411,0.0149873,127.1078195,C_7 H_14 O_1 C13_1,C8H14O,C_7 H_13 O_1 C13_1,8,8,1.75,0.125,7,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080212.401,1537349.222,126.1005424,0.014740069,27,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,5.41,-34.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26873384,NA,NA,NA,NA,19,34.28,FALSE,NA,NA,NA,NA,25948930,28046276,27116720,19958308,23844038,22471640,7836907,8908539,8589833,8023807,9539842,8922875,5962715,6719370,6240999,21627784,20648824,21855416,14240892,15048008,13459976,22674474,21949342,21411296,19553264,20591716,19054122,NA,NA,NA,NA,NA
0,127.0036743,0.0606823,128.0109585,C_5 H_4 O_4,C5H4O4,C_5 H_3 O_4,1,5,0.8,0.8,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081121.272,1528553,127.0036771,0.052286338,4,0,0.67,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,9609851,10206958,10019042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3561819,NA,NA,NA
0,127.0400677,0.0021633,128.0473439,C_6 H_8 O_3,C6H8O3,C_6 H_7 O_3,14,6,1.333,0.5,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081121.272,1613476.071,127.0400691,0.040093265,14,0,0.33,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Inf,FALSE,NA,NA,NA,NA,5169379,4863910,5319313,NA,3701929,NA,NA,NA,NA,NA,4224997,NA,NA,NA,NA,NA,NA,NA,4654173,4751144,4310504,5793801,4748671,4285889,3413456,4018755,4589066,NA,NA,NA,NA,NA
0,127.0764564,0.0283565,128.0837292,C_7 H_12 O_2,C7H12O2,C_7 H_11 O_2,8,7,1.714,0.286,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081121.272,1600280.963,127.0764579,0.039414135,27,0,0.17,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Inf,FALSE,NA,4408440,NA,5294302,10723042,10052517,11086991,5881349,6141096,7164858,NA,4112605,NA,6459103,8202468,7594715,4329404,5340011,4164808,15991655,16311127,16129176,8843356,8680743,9082342,14423047,15113085,13774271,16335823,14326850,16205321,NA,NA,NA,NA,NA
0,127.1128405,0.0176631,128.1201146,C_8 H_16 O_1,C8H16O,C_8 H_15 O_1,2,8,2,0.125,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081121.272,1588485.808,127.1128418,0.034287548,26,0,0.07,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Inf,FALSE,NA,NA,NA,NA,5291745,5262244,5397646,3293700,3271847,NA,5238988,4284636,4636649,6154974,6000867,5437658,4214715,3171178,4030151,6148966,6145878,5686423,7666779,7693606,6061541,11147270,12417916,12199358,6430670,7273537,5581320,NA,NA,NA,NA,NA
0,128.1080851,0.0160167,129.1153636,C_7 H_15 O_1 N_1,C7H15NO,C_7 H_14 O_1 N_1,5,7,2.143,0.143,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082030.412,1553759.926,128.1080864,0.020658047,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,Inf,FALSE,NA,NA,NA,NA,9602756,9234311,8493168,7581159,7943308,9385884,8480944,8277696,9114061,11541185,10984647,12143293,9716639,9625421,9364651,10863430,10650423,9731193,14396477,13819143,14494150,24081382,25072478,24941984,5789616,6466594,6764010,NA,NA,NA,NA,NA
0,129.0193245,0.058365,130.0266085,C_5 H_6 O_4,C5H6O4,C_5 H_5 O_4,1,5,1.2,0.8,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082939.819,1622040.2,129.0193286,0.044115835,5,0,0.33,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4357406,NA,NA,4152558,4083630,NA,NA,NA,NA,NA,NA,NA,7225871,3284749,NA,NA
0,129.0557207,0.0252416,130.0629939,C_6 H_10 O_3,C6H10O3,C_6 H_9 O_3,15,6,1.667,0.5,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082939.819,1577276.034,129.0557222,0.040133955,29,0,0.11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Inf,FALSE,NA,6762018,7292563,6955143,8700587,10824559,10278999,4313038,4966004,5250948,NA,3281577,3658678,5454504,4363439,5273252,4450695,3453750,5515411,10086189,9611037,9876577,4865060,5516525,7390637,8768461,7501637,7711110,7528342,9668616,8040912,NA,NA,NA,NA,NA
0,129.0921004,0.0182245,130.0993792,C_7 H_14 O_2,C7H14O2,C_7 H_13 O_2,11,7,2,0.286,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082939.819,1532148.5,129.0921017,0.01834617,26,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Inf,FALSE,NA,NA,NA,NA,17543850,17443694,18207830,11418061,13560947,13028227,4987544,7652008,5829045,6284968,5965999,5255843,4617606,NA,4630674,21134124,19737372,18889824,11095075,11530476,10715564,13462476,13220676,14171525,15438741,14973959,13368783,NA,NA,NA,NA,NA
0,131.0349818,0.0018025,132.0422585,C_5 H_8 O_4,C5H8O4,C_5 H_7 O_4,23,5,1.6,0.8,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084759.44,1468810.9,131.0349833,0.153553464,10,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Inf,FALSE,NA,7965155,8344147,8790088,3414148,3570503,3420718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093612,3415298,3820274,NA,NA,NA,NA,NA,4097308,NA,NA,NA,NA,NA,NA,NA,NA,NA
